polymer,concentration,mean_particle_area,max_particle_area,total_particle_area,particle_density,particle_count,mean_circularity,green_std,red_std,blue_std,S1,S2,S3,S4
NYLON,7.0398,361.5421,3200.1517,7455.6139,0.0188,22.8849,0.4341,7.3209,19.0862,1.7439,665.0332,595.2613,527.4152,370.7954
PVC,2.6916,1007.7494,6603.315,64511.8772,0.0497,64.279,0.4678,19.1239,46.142,4.831,678.3171,591.5782,435.0175,396.3759
PVC,0.3923,171.1828,1020.9609,10532.1472,0.0359,62.5552,0.5141,8.9049,29.4604,3.0435,145.4068,88.1945,116.3654,94.4484
NYLON,0.1459,568.5872,4215.508,14171.5222,0.0341,25.5877,0.4093,9.9511,23.1851,1.5616,77.2907,29.2065,51.4145,2.7764
NYLON,7.1029,475.2396,3169.8969,14056.6649,0.0335,30.6846,0.5538,15.4305,32.5459,5.2468,748.344,680.967,458.8301,371.5585
NYLON,0.5079,870.373,4508.7014,16785.8216,0.0371,18.1483,0.4438,14.4753,43.3278,2.6788,171.6594,101.6936,129.4508,98.271
NYLON,1.4614,773.0365,5935.6184,18503.1147,0.0441,23.8833,0.4231,17.8745,44.156,4.433,385.5893,341.6541,255.7837,254.3167
PVC,1.7536,101.6026,301.2678,1704.603,0.0056,17.5845,0.5223,3.4224,12.9981,1.2929,434.0407,365.2404,368.8702,221.1528
NYLON,1.6809,625.392,5077.2794,6344.7538,0.0208,10.8722,0.4854,9.8465,23.8343,2.2917,351.972,285.8257,226.827,146.3102
PVC,4.4971,95.7369,173.8659,585.419,0.002,6.2058,0.5901,3.2361,8.1485,1.0184,663.2806,512.9221,458.0666,287.8756
NYLON,0.2501,2377.9078,15719.5881,23943.3541,0.052,8.691,0.4051,14.1378,42.8494,2.5253,160.8133,156.047,122.9861,112.0993
NYLON,0.5077,1008.1642,9609.8249,52557.3272,0.0416,53.0651,0.458,14.5606,37.5092,2.0868,158.4247,145.6591,185.0025,125.4399
NYLON,1.5579,2609.2881,33816.0259,153522.7711,0.1218,60.1958,0.4449,27.6127,58.0969,5.5654,560.16,480.7775,436.5464,359.4581
NYLON,0.1356,469.1032,4857.5088,15384.811,0.0372,33.5977,0.5444,17.6567,38.1629,5.9694,94.7018,77.6586,54.6812,90.2959
PVC,0.1775,107.1006,277.2694,2951.5608,0.0095,29.6113,0.6547,2.5128,11.6923,1.1257,24.7141,31.2278,53.9536,5.1459
NYLON,7.583,1070.277,4344.9545,24152.0717,0.0497,21.9844,0.4683,11.7537,39.6027,2.4827,766.6424,601.7514,467.0549,310.1164
PVC,4.0702,54.9108,460.7194,11683.5248,0.0384,213.8158,0.1468,3.6126,8.7471,1.3919,660.3614,533.7612,393.6845,353.0065
NYLON,0.5715,1447.9442,23821.2814,41849.983,0.0374,29.6408,0.3705,11.2437,35.5748,1.2104,279.572,130.9577,123.9941,74.4683
NYLON,0.4038,1573.9827,18924.4541,70109.3232,0.0556,46.3021,0.4831,13.092,43.1104,2.1019,153.5095,127.1329,144.6367,100.3668
PVC,2.1126,49.3844,114.9718,871.6028,0.0027,17.1559,0.6299,1.3603,6.6852,0.7018,513.8972,341.1067,340.0678,287.7313
NYLON,8.2161,387.0382,4244.8434,27365.5022,0.0716,67.9036,0.5575,21.1236,42.7152,7.0245,753.4861,656.1655,474.7326,397.5135
NYLON,0.3012,231.8783,1062.1414,7206.3552,0.0262,30.9667,0.5541,7.7172,25.3925,2.0887,142.1655,46.7641,45.4028,64.7271
PVC,0.1452,89.0136,340.5141,2326.8554,0.0079,26.7928,0.6127,5.2431,17.1752,3.7277,108.1338,18.4384,32.8715,12.2301
PVC,0.1579,159.9097,460.3422,4613.6637,0.0137,28.3247,0.5822,4.95,25.8917,1.4406,95.8331,82.3719,102.2765,95.9512
NYLON,0.3106,400.7716,4086.8096,9609.6016,0.0235,24.7872,0.4603,8.1246,16.5979,1.39,84.0506,72.3226,57.9362,40.4801
PVC,0.1408,128.5619,525.6521,4631.2931,0.0149,36.32,0.5785,5.181,20.8843,1.6376,59.4959,97.9523,23.0964,19.3974
PVC,3.6473,77.7084,229.3001,2550.5379,0.0085,30.8539,0.5881,3.1719,14.2159,1.7608,610.2126,488.7198,522.4028,366.3681
NYLON,0.2382,479.8797,2238.1283,5064.3913,0.0132,10.9261,0.4961,6.744,18.625,1.1446,80.2785,66.5589,62.282,63.6973
PVC,2.7471,1149.8565,11294.7159,51706.33,0.0412,43.6202,0.4994,15.1264,39.8866,3.5897,712.4717,528.3989,439.6432,343.462
PVC,0.3929,154.482,537.7699,5207.0773,0.0169,32.5416,0.6027,6.2946,23.7051,2.4977,149.3679,69.2859,37.5575,50.307
NYLON,0.1048,1006.474,8161.9263,18529.5356,0.0423,19.1108,0.5138,16.5617,36.1984,5.2738,75.9383,57.8778,92.3579,20.9599
NYLON,0.213,364.7167,2670.6645,12999.2461,0.0319,34.8355,0.4888,9.2286,20.7397,1.8564,13.0687,71.5886,18.6871,69.2316
NYLON,5.2699,2032.5692,20053.2804,32930.6092,0.0731,15.4229,0.4198,12.9139,50.2185,1.8143,764.2669,587.3841,461.5886,372.8381
NYLON,4.3468,361.9175,1482.9874,3724.4689,0.0121,10.2913,0.4486,7.2286,17.9304,1.6895,616.826,492.0297,380.4251,346.8808
NYLON,1.0333,3808.8522,17025.2361,80626.0732,0.0695,20.4655,0.4403,25.2652,56.5882,5.5324,486.6372,447.7461,335.2096,272.6832
PVC,4.7563,278.9347,1181.6569,7172.486,0.0227,25.0388,0.5314,5.8826,24.5061,1.1335,630.4428,600.332,437.1157,436.7711
PVC,2.4116,243.3965,5724.3699,10080.1872,0.0345,42.7022,0.3854,4.278,13.3483,0.9574,492.4546,476.534,374.485,237.3142
NYLON,8.0372,412.8903,4765.2712,29561.219,0.0655,70.3917,0.3138,12.2785,30.5173,1.8899,830.9198,624.7754,582.8218,379.9224
NYLON,1.2312,228.6384,1102.9124,3275.5585,0.0123,13.9618,0.5406,6.8892,18.5682,1.4809,205.6006,162.785,166.2226,50.6152
NYLON,1.3428,775.1021,19218.3303,99434.4853,0.0748,118.3481,0.4079,14.5756,43.0012,2.7308,426.5844,314.0811,294.1853,225.1353
PVC,0.1297,1474.7474,34636.6053,67115.7572,0.2175,45.1499,0.353,7.5295,12.2938,1.4179,345.2185,359.6965,240.9993,177.6466
PVC,0.1792,126.8986,600.7041,4143.3361,0.014,35.0369,0.6018,6.2163,25.7575,1.473,89.7166,170.4972,68.562,61.3869
NYLON,0.2141,363.0734,2663.6617,12051.7846,0.0323,34.0744,0.4843,9.4019,21.5805,1.8613,99.1016,58.7631,77.0039,52.4031
NYLON,1.7614,342.9409,1667.2945,3170.2549,0.0089,8.992,0.5616,5.4272,21.688,0.9697,382.1805,324.5815,263.2826,222.0998
PVC,0.1775,103.1725,352.816,3668.635,0.0124,36.5875,0.7437,2.8772,21.0128,1.2396,52.6458,33.4189,31.6412,45.21
NYLON,1.2691,481.81,6283.7354,19747.6215,0.046,44.0387,0.414,14.0077,34.8357,2.6039,290.3105,220.1953,159.5276,161.7499
NYLON,1.1199,1265.5562,12270.8584,36698.9619,0.0879,25.9195,0.3213,16.5231,50.1835,3.0751,346.1402,244.2989,208.2814,186.3911
NYLON,1.8719,570.773,4248.9429,7741.3065,0.0256,13.2332,0.5408,12.7991,34.7331,2.1309,396.971,341.9122,272.4354,228.1876
PVC,1.0391,107.0095,431.192,5123.4997,0.0163,46.0466,0.6949,4.925,26.4803,1.4522,297.8823,224.2542,208.4852,135.725
PVC,0.1695,114.4282,966.6809,4617.5314,0.015,39.3986,0.5544,5.0307,13.6492,1.3063,39.0578,32.2348,0.0,3.9652
PVC,7.5287,84.8638,1967.2523,15824.7467,0.0522,205.2277,0.1069,4.1986,10.7259,1.2913,844.9947,725.1367,560.424,349.0954
NYLON,0.8259,1673.8832,11160.8316,31211.6455,0.0704,17.9758,0.411,19.7923,51.5493,3.0884,275.9497,253.3733,218.4834,160.3173
PVC,0.7887,1402.4939,6022.8106,52753.9469,0.0446,37.4755,0.4022,16.9473,37.5653,3.6846,366.3681,361.9179,311.1281,256.8279
PVC,6.559,467.5525,27297.4662,53615.5793,0.1673,112.4205,0.1797,3.8345,8.4194,1.1139,859.2099,729.2284,621.9163,449.8465
PVC,0.2219,101.6698,337.9888,3739.4697,0.0121,37.0464,0.683,2.812,21.6202,1.2015,13.5196,75.6552,76.3865,18.4646
PVC,1.0607,645.004,905.4491,1286.8493,0.0043,1.9847,0.4601,4.4232,14.1782,0.8642,326.3507,295.1441,212.9463,199.079
PVC,3.4716,95.9478,285.6888,4223.4818,0.0141,43.404,0.6705,5.9231,26.9001,1.4528,701.777,499.8382,524.4931,259.6187
PVC,1.7183,1161.1853,7262.3108,75392.4156,0.0556,58.5439,0.4261,16.4714,43.5952,4.4839,580.0034,492.687,378.1647,311.9692
PVC,0.2546,517.5169,1945.7338,14355.1431,0.0461,30.6206,0.5163,5.9965,31.1916,1.3196,120.7458,109.4031,62.8975,89.804
NYLON,5.9479,513.0532,3007.0912,10787.1666,0.0283,22.4549,0.4573,8.2351,32.6522,1.4652,661.3879,539.7434,408.9574,279.3235
NYLON,0.3963,641.2766,2655.9821,14104.6577,0.0373,20.9306,0.4287,10.2536,37.9251,1.5619,102.6807,46.2619,109.3627,54.2501
NYLON,0.969,409.3822,3973.4506,28215.8434,0.0663,67.2639,0.5362,22.2355,41.9396,6.9311,392.7728,315.698,350.7434,207.6811
PVC,2.0571,1268.4606,16459.4646,77344.4707,0.0639,57.836,0.4623,19.3219,47.0801,4.2803,651.971,488.0395,431.7206,285.3766
PVC,0.4859,132.0674,566.0744,2452.8305,0.0084,20.458,0.5932,5.3731,19.1991,2.4415,199.4061,157.8026,118.6396,104.6989
NYLON,0.5773,184.0045,933.5087,9243.7733,0.0322,50.8834,0.5435,9.1359,23.519,2.4331,128.6073,86.4791,112.3536,90.0853
PVC,0.7832,1101.0826,91780.3781,107282.7292,0.3416,91.1773,0.0939,2.5745,6.3092,0.7049,625.6794,555.127,432.6279,341.5813
PVC,0.1226,83.4835,300.0879,3524.8749,0.0107,39.7458,0.4666,3.2721,10.0998,1.4144,28.7013,88.2871,26.1446,67.4505
NYLON,0.528,2463.1023,29634.8615,90913.0889,0.0753,35.9199,0.3801,19.2607,52.5895,2.2014,320.1537,287.7648,220.1542,173.0744
NYLON,6.6628,735.1416,6018.3423,21170.195,0.0638,28.3408,0.4772,14.898,40.2191,2.5234,806.1981,611.8779,548.4144,447.6959
NYLON,8.4556,1865.3698,7072.8224,11496.1029,0.0252,6.4638,0.4633,11.9923,35.6685,1.385,800.7298,638.2436,457.9434,424.6642
NYLON,5.0733,1668.6693,8986.821,11774.3372,0.0249,6.956,0.4502,12.3369,35.7072,2.294,669.0662,663.2405,532.0724,312.1232
PVC,0.1533,148.0578,956.9168,5739.5938,0.0192,39.0693,0.5219,6.6674,25.4866,1.5385,89.6744,95.65,66.9815,37.4998
PVC,0.6685,151.786,522.9606,5300.3661,0.0161,35.5395,0.6042,6.1206,27.9156,1.6606,207.1455,185.34,147.588,136.501
NYLON,0.5763,1527.0313,8489.1237,27600.122,0.0668,19.4444,0.3734,17.3716,46.0813,2.6573,249.3574,217.6816,147.6924,133.107
PVC,0.2459,73.7265,220.1066,1647.8999,0.0054,23.3733,0.5113,2.5159,8.0944,1.0189,147.23,41.8368,77.8657,17.2238
PVC,3.6837,161.5981,414.7443,7149.0869,0.0234,44.0703,0.573,7.8519,27.8978,2.131,709.2515,490.0641,381.0882,285.5411
NYLON,1.5971,771.8739,5933.7924,18517.1938,0.0435,23.7966,0.4352,18.3418,42.5386,4.2241,454.2291,322.9704,276.6411,231.2384
PVC,7.0357,184.8226,616.3808,5444.86,0.0175,28.6394,0.5334,5.9279,22.4591,3.2303,797.5053,657.6811,510.6387,461.0009
NYLON,0.6348,429.086,970.2578,3813.5241,0.009,8.9656,0.5276,4.6325,12.0077,1.0942,129.4066,126.1572,109.7262,81.3714
NYLON,0.171,417.2378,3689.52,13510.9783,0.033,32.7853,0.3913,7.6196,18.8266,1.8145,51.1363,43.2729,58.9691,54.6071
PVC,0.937,99.6434,174.4394,583.7018,0.0019,5.8242,0.6139,3.2005,7.7571,1.074,236.0824,207.6586,225.2731,116.3382
PVC,4.7573,132.6069,520.7336,3614.7581,0.011,26.2662,0.6,2.0838,11.4071,0.9771,698.8731,657.1779,463.269,377.7482
PVC,0.2058,378.3567,2580.7878,23375.0953,0.0192,58.9014,0.4734,10.1199,28.8483,2.5244,120.028,94.9292,49.2025,27.7256
NYLON,1.3734,439.5209,3282.916,9647.7181,0.0225,20.5455,0.4251,13.0507,29.6774,2.6852,367.258,310.7658,168.135,200.1106
NYLON,2.8151,6719.005,23038.698,41498.1649,0.0336,5.9914,0.5046,19.9997,48.13,4.8492,789.5441,632.4575,517.949,458.434
NYLON,2.1718,1525.1234,8231.5035,28054.4357,0.0687,17.5288,0.3677,19.4183,45.4572,2.6587,590.1891,448.8191,364.081,276.0787
NYLON,0.129,1141.308,11299.7442,68245.8417,0.0595,64.6911,0.3746,18.2326,41.3169,2.8616,103.1098,136.9341,82.8468,67.7946
NYLON,0.2025,412.0507,4846.7342,28161.0114,0.0695,72.6099,0.3139,12.0284,30.574,1.9681,104.6515,83.9439,74.3281,89.1142
NYLON,1.7782,1088.6144,5197.9502,27114.3034,0.0611,24.0092,0.434,16.3957,44.2404,3.3149,406.064,316.4335,232.1717,209.5444
PVC,3.7319,135.1373,509.8133,3330.2054,0.0109,25.8582,0.6329,2.0853,11.8706,0.9991,689.3036,491.1284,475.6992,306.4427
NYLON,0.3738,998.2625,7669.1165,24851.8618,0.0611,25.2343,0.4603,18.9794,41.9404,3.5274,113.0391,139.8686,142.3077,134.4183
PVC,0.364,68.5355,204.0831,2587.5133,0.0079,38.4334,0.5656,2.8049,9.6636,1.3214,106.1686,81.6977,59.212,60.2365
NYLON,0.1299,775.9772,5696.9329,23644.5242,0.0784,30.6654,0.4754,19.2467,47.2577,3.5689,127.3859,97.2269,101.9454,54.4156
PVC,0.1054,137.4299,384.8305,983.6295,0.003,7.1727,0.4987,3.5368,9.5465,1.2561,73.3383,57.2782,0.0,48.5251
PVC,0.1324,128.4564,887.7498,3533.2775,0.0111,27.5374,0.5409,3.6873,17.5323,1.6279,54.8857,4.0945,7.1607,0.0
NYLON,3.976,484.6072,3917.3421,13380.3306,0.0326,27.1298,0.3934,10.9867,26.8316,1.8708,566.8127,449.8624,435.6164,288.6673
PVC,1.1752,843.2839,3307.9572,10342.1169,0.0086,12.7354,0.4212,7.1918,19.8855,1.4807,360.0177,321.4198,260.9858,271.8647
PVC,7.5631,1104.0192,4208.3534,16148.0376,0.0133,14.4482,0.4526,9.5605,25.3149,1.6613,842.4729,731.0227,554.376,511.425
NYLON,0.3761,667.184,2721.3073,9206.2462,0.0255,14.5443,0.4565,9.8393,34.9232,1.337,98.073,86.5106,70.614,81.998
PVC,0.1223,519.1602,7293.4718,13889.1176,0.0472,26.6475,0.5843,9.2656,41.1673,1.5252,62.0294,56.1537,53.6705,39.7772
PVC,8.408,132.6679,567.2551,6073.0212,0.0209,46.4981,0.6808,8.9862,29.2241,2.4498,708.5228,681.7697,488.1201,396.9524
NYLON,6.2242,356.7185,3251.4861,9985.9805,0.0257,27.878,0.4223,8.4131,23.5539,2.0069,630.1785,620.1163,412.4807,417.7766
PVC,1.0969,81.0865,241.8603,1455.1657,0.005,18.5356,0.6348,4.0603,11.3746,1.0712,416.8429,236.3017,232.2431,169.3334
PVC,0.3737,102.924,292.9419,4199.9138,0.0136,37.3214,0.622,5.3178,21.9323,3.7383,152.9422,126.8628,99.3122,102.2728
PVC,0.3031,66.2102,214.3732,2558.0888,0.008,35.729,0.572,2.9252,9.454,1.3751,123.1089,91.0481,74.4595,77.3726
NYLON,0.2044,1527.0374,33095.7772,39253.9295,0.1312,25.7403,0.4743,24.0742,61.0447,4.8219,258.2848,259.9833,163.4844,193.607
PVC,3.6476,111.3643,513.8187,8048.9564,0.0264,69.9732,0.503,4.1151,14.5172,1.6839,644.1979,579.5224,413.5895,360.7413
NYLON,0.3902,417.5192,921.0513,3778.8983,0.009,9.3263,0.5115,4.8597,11.939,1.0704,97.0423,206.1916,0.0,0.0
PVC,0.9298,160.6194,1218.9957,9969.7388,0.0332,62.7508,0.5467,8.2719,27.0556,2.5395,263.0458,208.1769,215.7205,136.5537
PVC,0.436,106.3167,564.1351,2541.1869,0.0091,24.9596,0.4707,5.5066,17.1894,1.1523,142.6219,127.5984,35.5966,44.5244
PVC,8.7422,74.9207,252.4228,3416.1907,0.0112,47.0218,0.6539,2.285,10.7929,1.0518,754.0747,715.8972,585.4246,438.7696
NYLON,0.1359,634.67,9297.9091,51114.5249,0.043,94.1469,0.4694,11.529,32.029,2.1868,166.3038,43.9344,35.7899,126.9851
NYLON,1.4313,789.0339,5911.8606,21220.5629,0.0677,26.8697,0.389,18.2545,44.1816,2.5724,367.4863,339.7808,251.0611,232.0445
NYLON,8.1722,481.9587,7765.6431,21959.6165,0.0526,43.7699,0.4805,12.2297,33.9482,2.3652,725.8316,620.9512,507.4168,350.296
NYLON,0.5209,1102.3929,4379.9668,22552.4523,0.0498,20.9865,0.4656,12.2776,40.9628,2.414,210.4051,205.4331,115.4247,119.0077
NYLON,1.9994,985.5017,4849.8984,33025.8397,0.0271,34.6467,0.4434,11.4789,30.7478,1.886,340.9534,360.0709,313.0217,200.2116
PVC,0.1977,158.8865,944.6333,6099.4604,0.0183,34.6027,0.559,6.3017,24.8898,1.4911,118.7537,82.1621,66.64,53.2444
NYLON,8.8572,1426.1755,23221.0801,43104.2295,0.0358,30.3642,0.367,11.8192,36.619,1.1093,883.5992,646.4699,531.293,467.0732
NYLON,7.0628,478.3781,1580.9412,3100.6937,0.0117,7.358,0.5104,7.7898,23.1045,1.5357,641.5726,579.643,458.1927,272.6318
PVC,0.2852,93.4246,272.5532,1725.7031,0.0057,20.5631,0.6259,3.0934,11.789,1.2165,65.7133,54.9833,56.9103,12.8572
NYLON,0.7255,1405.7873,18748.5111,58458.227,0.0513,41.8373,0.419,14.5164,42.1273,2.107,330.7043,258.1296,209.2503,73.1857
NYLON,8.713,511.937,2844.3263,4027.9985,0.0099,7.8822,0.5105,5.6335,15.3978,1.4958,824.1941,679.0198,418.6861,324.19
PVC,0.6754,381.356,1053.4394,2286.6883,0.0073,6.1811,0.4876,3.6702,16.5629,0.9502,206.0762,147.7129,181.2685,128.0872
NYLON,0.2799,407.0964,3098.4562,8281.2161,0.0213,19.4959,0.5144,8.7861,32.3757,1.4047,51.3389,0.0,105.1869,32.4496
PVC,0.5383,157.5089,493.2704,5032.6584,0.0162,32.4455,0.58,6.5535,24.9413,2.437,179.3807,169.145,140.6218,83.5409
NYLON,0.3227,2760.7924,32388.2781,158914.4827,0.133,57.8001,0.4128,26.5175,63.6862,5.4902,326.2865,295.2052,181.9995,145.9279
PVC,0.2833,164.9575,905.2231,5422.7593,0.0187,33.7503,0.5551,6.6409,26.2497,1.5372,53.8625,50.633,8.7946,14.12
NYLON,0.1465,459.2937,1736.0622,7644.3925,0.0205,15.8964,0.5307,10.4237,32.5201,2.3777,25.0782,75.7816,77.7842,9.8306
NYLON,2.3565,1399.2961,24051.634,60158.6169,0.0489,42.6152,0.4469,16.7179,46.4861,2.1399,477.2598,426.9985,466.5353,287.1609
PVC,0.2145,129.5568,426.6477,6260.3047,0.0209,53.2886,0.5417,7.5583,26.8295,1.7461,103.4192,50.2723,39.1967,27.6999
NYLON,3.0716,322.4121,4342.1846,12488.0864,0.0275,39.0047,0.4871,8.0625,29.185,1.5781,551.89,419.8308,320.7111,289.0671
NYLON,0.2326,365.7609,2628.3218,6184.6968,0.0136,16.5289,0.4916,7.4989,25.0966,1.3587,49.2288,0.0,48.6638,40.084
